title,year,director,runtime,cast
Baby Driver,2017,Edgar Wright,113,"['Ansel Elgort', 'Kevin Spacey', 'Lily James', 'Jon Hamm', 'Jamie Foxx', 'Eiza González', 'Jon Bernthal', 'Flea', 'CJ Jones', 'Sky Ferreira', 'Lanny Joon', 'R. Marcos Taylor', 'Micah Howard', 'Morgan Brown', 'Morse Diggs', 'Lance Palmer', 'Hudson Meek', 'Viviana Chavez', 'Hal Whiteside', 'Clay Donahue Fontenot', 'Brigitte Kali Canales', 'Patrick R. Walker', 'Ben VanderMey', 'David Robert Lewis', 'Big Boi', 'Killer Mike', 'Brogan Hall', 'Allison King', 'Paul Williams', 'Joe Loya', 'Andy McDermott', 'Christopher Beanland', 'Andrea Frye', 'Thomas E. Haynes', 'Russell B. Spencer', 'Cynne Simpson', 'Keith Hudson', 'Sidney Sewell', 'Thurman Sewell', 'Elijah Everett', 'Jon Spencer', 'Walter Hill', 'Wilbur Fitzgerald', 'Jeff Chase', 'Shellita Boxie', 'Marshall Choka', 'Juliette Sicard', 'Marvin E. West', 'Connie Lee', 'James Blackshear', 'Erica Frene', 'Elizabeth Davidovich', 'Duke Jackson', 'Colin Lacativa', 'Trey McGriff', 'Donald K. Overstreet', 'Danny Le Boyer', 'David Conk', 'Troy Faruk', 'Mark Smith', 'Kenneth Manos', 'Arnold Montey', 'Nathaniel Perry', 'Kent Wagner', 'Whit Whitman', 'Perry Zulu Jr.']"
Lady Bird,2017,Greta Gerwig,94,"['Saoirse Ronan', 'Laurie Metcalf', 'Tracy Letts', 'Beanie Feldstein', 'Lucas Hedges', 'Timothée Chalamet', 'Jordan Rodrigues', 'Marielle Scott', 'Odeya Rush', 'Lois Smith', 'Stephen McKinley Henderson', 'Jake McDorman', 'John Karna', 'Bayne Gibby', 'Laura Marano', 'Marietta DePrima', 'Daniel Zovatto', 'Kristen Cloke', 'Andy Buckley', 'Paul Keller', 'Kathryn Newton', 'Myra Turley', 'Bob Stephenson', 'Abhimanyu Katyal', 'Chris Witaske', 'Ben Konigsberg', 'Gurpreet Gill', 'Richard Jin Namkung', ""Joan Patricia O'Neil"", 'Robert Figueroa', 'Carla Valentine', 'Roman Arabia', 'Monique Edwards', 'Matthew Maher', 'Anita Kalathara', 'Debra Miller', 'Georgia Leva', 'Derek Butler', 'London Thor', ""Shaelan O'Connor"", 'Christina Offley', 'Sabrina Schloss', 'Connor Mickiewicz', 'Erik Daniells', 'Cynthia Cales', 'Giselle Grams', 'Ithamar Enriquez', 'Luisa Lee', 'Danielle Macdonald', 'Adam Brock', 'Bonnie Jean Shelton', 'Rebecca Light', 'Janet Song']"
Mad Max: Fury Road,2015,George Miller,121,"['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Zoë Kravitz', 'Riley Keough', 'Rosie Huntington-Whiteley', 'Abbey Lee', 'Courtney Eaton', 'Josh Helman', 'Nathan Jones', 'John Howard', 'Richard Carter', 'Iota', 'Angus Sampson', 'Jennifer Hagan', 'Megan Gale', 'Melissa Jaffer', 'Melita Jurišić', 'Gillian Jones', 'Joy Smithers', 'Antoinette Kellerman', 'Christina Koch', 'Jon Iles', 'Quentin Kenihan', 'Coco Jack Gillies', 'Chris Patton', 'Stephen Dunlevy', 'Richard Norton', 'Vincent Roxburgh', 'John Walton', 'Ben Smith-Petersen', 'Russ McCarroll', 'Judd Wild', 'Elizabeth Cunico', 'Greg Van Borssum', 'Rob Jones', 'Sebastian Dickins', 'Darren Mitchell', 'Crusoe Kurddal', 'Shyan Tonga', 'Cass Comerford', 'Albert Lee', 'Ripley Voeten', 'Riley Paton', 'Maycn Van Borssum', 'Hunter Stratton Boland', 'Nathan Jenkins', 'Fletcher Gill', 'Whiley Toll', 'Ferdinand Hengombe', 'Gadaffi Davsab', 'Noddy Alfred', 'Jackson Hengombe', 'Christian Fane', 'Callum Gallagher', 'Abel Hofflin', 'Lee Perry', 'Hiroshi Kasuga']"
Black Panther,2018,Ryan Coogler,135,"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o"", 'Danai Gurira', 'Martin Freeman', 'Daniel Kaluuya', 'Letitia Wright', 'Winston Duke', 'Sterling K. Brown', 'Florence Kasumba', 'John Kani', 'Angela Bassett', 'Forest Whitaker', 'Andy Serkis', 'David S. Lee', 'Nabiyah Be', 'Isaach De Bankolé', 'Connie Chiume', 'Dorothy Steel', 'Danny Sapani', 'Sydelle Noel', 'Marija Abney', 'Zola Williams', 'Janeshia Adams-Ginyard', 'Maria Hippolyte', 'Marie Mouroum', 'Jénel Stevens', 'Sope Aluko', 'Stan Lee', 'Atandwa Kani', 'Ashton Tyler', 'Denzel Whitaker', 'Shaunette Renée Wilson', 'Christine Hollingsworth', 'Lucy Hockings', 'Bambadjan Bamba', 'Roland Kilumbu', 'Jermaine Holt', 'Dominique Elijah Smith', 'Jalil Jay Lynch', 'Vaughndio Forbes', 'Sasha Morfaw', 'Alexis Louder', 'Francesca Faridany', 'Mark Ashworth', 'Seth Carr', 'Jeremy Sample', 'Chad Crumley', 'Alexis Rhee', 'Danny Chung', 'Liz Elkins Newcomer', 'Tony Sears', 'Alex C. Riley Hughes', 'Clifford Gay', 'Shamel Heath', ""De'Jon Watts"", 'Alex Hibbert', 'Tristan Timmons', 'Tyler Timmons', 'Jamal', 'Thabo Moropane', 'Zani Mogodi', 'Zenzi Williams', 'Trevor Noah', 'T. Love', 'Sebastian Stan']"
The Dark Knight,2008,Christopher Nolan,152,"['Christian Bale', 'Heath Ledger', 'Michael Caine', 'Gary Oldman', 'Aaron Eckhart', 'Maggie Gyllenhaal', 'Morgan Freeman', 'Nestor Carbonell', 'Monique Gabriela Curnen', 'Ron Dean', 'Chin Han', 'Eric Roberts', 'Ritchie Coster', 'Anthony Michael Hall', 'Keith Szarabajka', 'Joshua Harto', 'Melinda McGraw', 'Nathan Gamble', 'Michael Jai White', 'Colin McFarlane', 'Nydia Rodriguez Terracina', ""Tom 'Tiny' Lister Jr."", 'William Fichtner', 'Cillian Murphy', 'Patrick Leahy', 'Matt Skiba', 'David Dastmalchian', 'Michael Vieau', 'Michael Stoyanov', 'William Smillie', 'Danny Goldring', ""Matthew O'Neill"", 'Olumiji Olawumi', 'Greg Beam', 'Erik Hellman', 'Beatrice Rosen', 'Vincenzo Nicoli', 'Edison Chen', 'Andy Luther', 'James Farruggio', 'Tom McElroy', 'Will Zahrn', 'James Fierro', 'Sam Derence', 'Jennifer Knox', 'Patrick Clear', 'Sarah Jayne Dunn', 'Charles Venn', 'Winston Ellis', 'Sophia Hinshelwood', 'Keith Kupferer', 'Joseph Luis Caballero', 'Richard Dillane', 'Daryl Satcher', 'Chris Petschler', 'Aidan Feore', 'Philip Bulcock', 'Paul Birchard', 'Walter Lewis', 'Vincent Riotta', 'Nancy Crane', 'K. Todd Freeman', 'Matt Shallenberger', 'Michael Andrew Gorman', 'Lanny Lutz', 'Peter DeFaria', 'Matt Rippy', 'Andrew Bicknell', 'Ariyon Bakare', 'Doug Ballard', 'Helene Maksoud', 'Tommy Campbell', 'Craig Heaney', 'Lorna Gayle', 'Lisa McAllister', 'Peter Brooke', 'Joshua Rollins', 'Dale Rivera', 'Matthew Leitch', 'Thomas Gaitsch', 'William Armstrong', 'Adam Kalesperis', 'Tristan Tait', 'Bronson Webb', 'David Ajala', 'Gertrude Kyles', 'Jonathan Ryland', 'James Scales', 'Nigel Carrington', 'Ian Pirie', 'Lateef Lovejoy', 'Grahame Edwards', 'Roger Monk', 'Ronan Summers', 'Wai Wong', 'Michael Corey Foster', 'Hannah Gunn', 'Jon Lee Brody', 'Debbi Burns', 'Maritza Cabrera', 'Shirin Caiola', 'Laura Chernicky', 'Henry Milton Chu', 'Kelli Clevenger', 'Richard Divizio', 'Tony Domino', 'David Fultz', 'Natalie Hallam', 'Jordon Hodges', 'Erron Jay', 'Nicky Katt', 'Thomas Kosik', 'Don Kress', 'Tim Krueger', 'Dan Latham', 'Tom McComas', 'James Mellor', 'Joseph Oliveira', 'Buster Reeves', 'Peter Rnic', 'Amit Shah', 'Michelle Shields', 'Sofiya Smirnova', 'Bruce Spielbauer', 'Robert Patrick Stern', 'Robert Stone', 'Richard Strobel', 'Tom Townsend', 'John Turk', 'John Warman', 'Chris Wilson', 'Kevin Zaideman', 'Rob Clark', 'Brandon Lambdin']"
Spider-Man: Into the Spider-Verse,2018,Bob Persichetti,117,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali', 'Brian Tyree Henry', 'Lily Tomlin', 'Lauren Vélez', 'Zoë Kravitz', 'John Mulaney', 'Kimiko Glenn', 'Nicolas Cage', 'Kathryn Hahn', 'Liev Schreiber', 'Chris Pine', 'Natalie Morales', 'Edwin H. Bravo', 'Oscar Isaac', 'Greta Lee', 'Stan Lee', 'Jorma Taccone', 'Joaquín Cosío', ""Marvin 'Krondon' Jones III"", 'Kim Yarbrough', 'Lake Bell', 'Jessica Mikayla Adams', 'Gredel Berrios Calladine', 'Sarah D. Cole', 'Kelby Joseph', 'Mimi Davila', 'Claudia Choi', 'Melanie Haynes', 'Joseph Izzo', 'Nick Jaine', 'Muneeb Rehman', 'Carlos Zaragoza', 'Post Malone', 'David Applebee', 'Juan Carlos Arvelo', 'Adam Brown', 'Jon Bruno', 'Darcy Rose Byrnes', 'Oscar Camacho', 'June Christopher', 'Alycia Cooper', 'Michelle Jubilee Gonzalez', 'Terrence Hardy Jr.', 'Bridget Hoffman', 'Rif Hutton', 'Miguel Jiron', 'Harrison Knight', 'Lex Lang', 'Donna Lynn Leavy', 'Andrew Leviton', 'Caitlin McKenna', 'Scott Menville', 'Christopher Miller', 'Arthur Ortiz', 'Juan Pacheco', 'Devika Parikh', ""Shakira Ja'nai Paye"", 'Courtney Peldon', 'Chrystee Pharris', 'Jacqueline Pinol', 'Juan Pope', 'Al Rodrigo', 'Joseph Sanfelippo', 'Justin Shenkarow', 'Dennis Singletary', 'Warren Sroka', 'Melissa Sturm', 'Holly Walker', 'Jason Linere-White', 'Ruby Zalduondo', 'Ruth Zalduondo', 'Cliff Robertson']"
La La Land,2016,Damien Chazelle,129,"['Ryan Gosling', 'Emma Stone', 'John Legend', 'Rosemarie DeWitt', 'J.K. Simmons', 'Amiée Conn', 'Terry Walters', 'Thom Shelton', 'Cinda Adams', 'Callie Hernandez', 'Jessica Rothe', 'Sonoya Mizuno', 'Claudine Claudio', 'Jason Fuchs', 'D.A. Wallach', 'Trevor Lissauer', 'Olivia Hamilton', 'Anna Chazelle', 'Marius de Vries', 'Finn Wittrock', 'Josh Pence', 'Nicole Coulon', 'Damon Gupton', 'Christopher Michael Stevens', 'Keith Harris', 'Kaveh Rastegar', 'Briana Lee', 'David Douglas', 'Miles Anderson', 'Bobo Chang', 'Meagen Fay', 'John Hindman', 'Valarie Rae Miller', 'Nicole Wolf', 'Corrin Evans', 'Kiff VandenHeuvel', 'Tom Everett Scott', 'Hemky Madera', 'Zoë Hall', 'Dempsey Pappion', 'Sandra Rosko', 'Reshma Gajjar', 'Candice Coke', 'Hunter Hamilton', 'Damian Gomez', 'Amanda Balen', 'Dominic Chaiduang', 'Cindera Che', 'Chris Moss', 'Marissa Labog', 'Tiffany Daniels', 'Melinda Sullivan', 'Stephanie Landwehr', 'Britt Stewart', 'Clarice Ordaz', 'Nathan Prevost', 'Scott Hislop', 'Kc Monnie', 'Krystal Ellsworth', 'Sarah Mitchell', 'Khasan Brailsford', 'Morgan Larson', 'Becca Sweitzer', 'Gakenia Muigai', 'Michael Stein', 'Mario Diaz', 'Julie Schmid', 'Lexie Contursi', 'Eartha Robinson', 'Sybil Azur', 'Tara Nicole Hughes', 'Kayla Kalbfleisch', 'Martha Nichols', 'Anthony Marciona', 'Bill Prudich', 'Robert Roldan', 'Ryan Novak', 'Demian Boergadine', 'Gustavo Vargas', 'Robert Haynes', 'Ana Flavia Gavlak', 'Andres Perez-Molina', 'Phillip E. Walker', 'Milica Govich', 'Kaye L. Morris', 'Nilla Elizabeth Watkins', 'Holly Houk', 'Jesse Houk', 'Kristin Slaysman', 'Cameron Brinkman', 'Jordan Ray Fox', 'C.J. Stussi', 'Margaret Newborn', 'Nadia Tumanova', 'Crystal Nichol', 'Kristin Elliott', 'Andrea Lareo', 'Christopher Aber', 'Anna Lunberry', 'Shannon Leann', 'Jenna Curtis', 'Noah James', 'Tommy Cooley', 'Morgan Cohen', 'Jeremy Nathan Tisser', 'Patty Tobin', 'Heather Turman', 'Susie Ganiere', 'Ottavio Taddei', 'April Martucci', 'Trent Kerpsack', 'Lynn Moore', 'Vince Donvito', 'Steffen Dziczek', 'Melvin LaThomas Brimm', 'Kelly Kennedy', 'Clarence Robinson', 'Dapo Torimiro', 'Destinee Handly', 'Tommy Otis', 'Amanda Fields', 'Frederick Keeve', 'Ali Arda Özdeniz', 'Sasha Fine', 'Eren Kayakıran', 'Corey Anderson']"
Avengers: Infinity War,2018,Joe Russo,149,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson', 'Benedict Cumberbatch', 'Tom Holland', 'Chadwick Boseman', 'Don Cheadle', 'Zoe Saldaña', 'Karen Gillan', 'Elizabeth Olsen', 'Paul Bettany', 'Anthony Mackie', 'Sebastian Stan', 'Tom Hiddleston', 'Idris Elba', 'Danai Gurira', 'Peter Dinklage', 'Benedict Wong', 'Pom Klementieff', 'Dave Bautista', 'Vin Diesel', 'Bradley Cooper', 'Gwyneth Paltrow', 'Benicio del Toro', 'Josh Brolin', 'Chris Pratt', 'Sean Gunn', 'William Hurt', 'Letitia Wright', 'Terry Notary', 'Tom Vaughan-Lawlor', 'Carrie Coon', 'Michael James Shaw', 'Stan Lee', 'Winston Duke', 'Florence Kasumba', 'Kerry Condon', 'Monique Ganderton', 'Jacob Batalon', 'Tiffany Espensen', 'Isabella Amara', 'Ethan Dizon', 'Ariana Greenblatt', 'Ameenah Kaplan', 'Ross Marquand', 'Michael Anthony Rogers', 'Stephen McFeely', 'Aaron Lazar', 'Robert Pralgo', 'Olaniyan Thurmon', 'Blair Jasin', 'Matthew Zuk', 'Laura Miller', 'Kenneth Branagh', 'Samuel L. Jackson', 'Cobie Smulders', 'Harrison Osterfield', 'Gary Peebles', 'Marija Abney', 'Zola Williams', 'Marie Mouroum', 'James Siderits', 'Precious Jenkins']"
Pulp Fiction,1994,Quentin Tarantino,154,"['John Travolta', 'Samuel L. Jackson', 'Uma Thurman', 'Bruce Willis', 'Ving Rhames', 'Harvey Keitel', 'Eric Stoltz', 'Tim Roth', 'Amanda Plummer', 'Maria de Medeiros', 'Quentin Tarantino', 'Christopher Walken', 'Rosanna Arquette', 'Peter Greene', 'Duane Whitaker', 'Angela Jones', 'Phil LaMarr', 'Steve Buscemi', 'Bronagh Gallagher', 'Laura Lovelace', 'Frank Whaley', 'Burr Steers', 'Paul Calderon', 'Jerome Patrick Hoban', 'Michael Gilden', 'Gary Shorelle', 'Susan Griffiths', 'Eric Clark', 'Joseph Pilato', 'Brad Blumenthal', 'Lorelei Leslie', 'Emil Sitka', 'Brenda Hillhouse', 'Chandler Lindauer', 'Sy Sher', 'Robert Ruth', 'Rich Turner', 'Don Blakely', 'Carl Allen', 'Karen Maruyama', 'Kathy Griffin', 'Venessia Valentino', 'Linda Kaye', 'Stephen Hibbert', 'Alexis Arquette', 'Julia Sweeney', 'Lawrence Bender', 'Cie Allman', 'Rene Beard', 'Lori Pizzo', 'Glendon Rich', 'Devan Richardson', 'Ani Sava', 'Richard Rossi']"
Get Out,2017,Jordan Peele,104,"['Daniel Kaluuya', 'Allison Williams', 'Catherine Keener', 'Bradley Whitford', 'Caleb Landry Jones', 'Marcus Henderson', 'Betty Gabriel', 'Lakeith Stanfield', 'Stephen Root', 'Lil Rel Howery', 'Ashley LeConte Campbell', 'John Wilmot', 'Caren L. Larkey', 'Julie Ann Doan', 'Rutherford Cravens', 'Geraldine Singer', 'Yasuhiko Oyama', 'Richard Herd', 'Erika Alexander', 'Jeronimo Spinx', 'Ian Casselberry', 'Trey Burvant', 'John Donohue', 'Sean Paul Braud', 'Zailand Adams', 'Keegan-Michael Key', 'Jordan Peele', 'Evan Shafran', 'Tahj Vaughans']"
