Name,Year,Rating,Date
Cry-Baby,1990,5,8/7/2020
Sam Jay: 3 in the Morning,2020,,8/7/2020
Star Wars,1977,4,8/9/2020
Tru Confessions,2002,3.5,8/9/2020
Camp Rock,2008,4.5,8/9/2020
Camp Rock 2: The Final Jam,2010,4.5,8/10/2020
High School Musical,2006,4.5,8/10/2020
High School Musical 2,2007,5,8/10/2020
Troll Hunter,2010,3.5,8/11/2020
Good Time,2017,4,8/13/2020
A Dirty Shame,2004,4,8/14/2020
Cecil B. Demented,2000,3.5,8/15/2020
The Empire Strikes Back,1980,4.5,8/16/2020
Microcosmos,1996,3.5,8/18/2020
Pecker,1998,2.5,8/20/2020
James Veitch: Straight to VHS,2020,4.5,8/21/2020
Beth Stelling: Girl Daddy,2020,4,8/21/2020
Live from the Space Stage: A HALYX Story,2020,2.5,8/21/2020
Serial Mom,1994,4,8/22/2020
Return of the Jedi,1983,3.5,8/23/2020
Muppet Treasure Island,1996,4,8/25/2020
Multiple Maniacs,1970,4,8/26/2020
Star Wars: Episode I - The Phantom Menace,1999,1.5,8/30/2020
Spotlight,2015,4,8/31/2020
Holes,2003,3.5,9/1/2020
Pink Flamingos,1972,3,9/4/2020
Palm Springs,2020,3.5,9/6/2020
Star Wars: Episode II - Attack of the Clones,2002,,9/6/2020
Beetlejuice,1988,2.5,9/8/2020
Six by Sondheim,2013,4,9/11/2020
Female Trouble,1974,4,9/11/2020
Company,2008,5,9/11/2020
Polyester,1981,4,9/12/2020
Star Wars: Episode III - Revenge of the Sith,2005,2.5,9/13/2020
Once,2007,4,9/15/2020
Desperate Living,1977,3,9/17/2020
Mandy,2018,4.5,9/19/2020
Star Wars: The Force Awakens,2015,3,9/20/2020
Happy Death Day,2017,3,9/21/2020
Fantastic Mr. Fox,2009,4,9/22/2020
A Nightmare on Elm Street,1984,3.5,9/23/2020
The Host,2006,4,9/25/2020
Star Wars: The Last Jedi,2017,4.5,9/27/2020
The People Under the Stairs,1991,4.5,9/28/2020
Moana,2016,3.5,9/29/2020
eXistenZ,1999,3,9/30/2020
Pan's Labyrinth,2006,4,10/1/2020
The Silence of the Lambs,1991,4,10/2/2020
Us,2019,3.5,10/2/2020
The Thing,1982,4,10/3/2020
Star Wars: The Rise of Skywalker,2019,2,10/4/2020
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,3,10/5/2020
Kiki's Delivery Service,1989,4.5,10/6/2020
The Rocky Horror Picture Show,1975,3,10/7/2020
Friday the 13th,1980,3,10/8/2020
The Lighthouse,2019,5,10/9/2020
They Live,1988,5,10/10/2020
The Shining,1980,5,10/11/2020
Addams Family Values,1993,4.5,10/12/2020
Stop Making Sense,1984,5,10/13/2020
Blood Quantum,2019,2.5,10/13/2020
Halloween,1978,4,10/15/2020
The Haunted Mansion,2003,1.5,10/15/2020
Scream,1996,5,10/16/2020
Evil Dead II,1987,4,10/17/2020
Cry-Baby,1990,5,10/18/2020
Jennifer's Body,2009,4.5,10/20/2020
Color Out of Space,2019,2,10/21/2020
Mulholland Drive,2001,4.5,10/22/2020
A Nightmare on Elm Street 3: Dream Warriors,1987,4,10/23/2020
Room 237,2012,3.5,10/24/2020
Detention,2011,3,10/25/2020
The People Under the Stairs,1991,4.5,10/27/2020
Over the Garden Wall,2014,4,10/28/2020
House,1977,5,10/30/2020
Videodrome,1983,5,10/31/2020
Hubie Halloween,2020,2.5,11/1/2020
Everything Is Illuminated,2005,4.5,11/1/2020
Romeo + Juliet,1996,2,11/3/2020
David Byrne's American Utopia,2020,5,11/6/2020
Her Smell,2018,3.5,11/8/2020
Sing Street,2016,5,11/8/2020
The Lego Batman Movie,2017,3,11/10/2020
Mad Max: Fury Road,2015,4.5,11/10/2020
Ben Platt: Live from Radio City Music Hall,2020,3.5,11/12/2020
Big Fish,2003,3.5,11/17/2020
LEGO Star Wars Holiday Special,2020,3,11/22/2020
Clueless,1995,4,11/22/2020
Stop Making Sense,1984,5,11/23/2020
Paddington,2014,5,11/24/2020
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,3.5,11/24/2020
An American Pickle,2020,3.5,11/24/2020
Borat Subsequent Moviefilm,2020,4,11/24/2020
Ratatouille,2007,4.5,11/24/2020
Onward,2020,2,11/25/2020
Phineas and Ferb: The Movie: Candace Against the Universe,2020,3.5,11/25/2020
Twin Peaks: Fire Walk with Me,1992,3.5,11/26/2020
Happiest Season,2020,2,11/26/2020
Twin Peaks: The Missing Pieces,2014,2.5,11/29/2020
Knives Out,2019,5,11/29/2020
Greener Grass,2019,5,11/30/2020
Snowpiercer,2013,3.5,12/1/2020
8:46,2020,5,12/2/2020
A Muppet Family Christmas,1987,4,12/4/2020
David Byrne's American Utopia,2020,5,12/5/2020
True Stories,1986,5,12/5/2020
Twin Peaks: The Return,2017,4,12/6/2020
Eighth Grade,2018,5,12/6/2020
The Leprechauns' Christmas Gold,1981,1,12/8/2020
Rudolph the Red-Nosed Reindeer,1964,3,12/8/2020
The Year Without a Santa Claus,1974,3.5,12/8/2020
How the Grinch Stole Christmas,2000,4,12/9/2020
First Cow,2019,3.5,12/12/2020
High School Musical: The Musical: The Holiday Special,2020,4,12/12/2020
An Evening with Tim Heidecker,2020,4,12/13/2020
Dog Day Afternoon,1975,5,12/13/2020
David Lynch Cooks Quinoa,2007,3.5,12/13/2020
Multiple Maniacs,1970,4,12/15/2020
Elf,2003,3.5,12/15/2020
Bill & Ted's Excellent Adventure,1989,4,12/16/2020
Polyester,1981,4,12/16/2020
Emma.,2020,3,12/17/2020
Eyes Wide Shut,1999,4.5,12/17/2020
Mulan,2020,1,12/18/2020
Emmet Otter's Jug-Band Christmas,1977,4.5,12/18/2020
I'm Thinking of Ending Things,2020,5,12/19/2020
Da 5 Bloods,2020,2,12/19/2020
Crip Camp: A Disability Revolution,2020,4.5,12/19/2020
Long Toast,2020,4.5,12/19/2020
Canvas,2020,3,12/20/2020
Fargo,1996,4.5,12/20/2020
The Prom,2020,2,12/20/2020
Wild at Heart,1990,5,12/20/2020
Mangrove,2020,4.5,12/21/2020
Lovers Rock,2020,3.5,12/21/2020
A Muppets Christmas: Letters to Santa,2008,3.5,12/21/2020
It's a Very Merry Muppet Christmas Movie,2002,3.5,12/21/2020
Feels Good Man,2020,4.5,12/22/2020
Sonic the Hedgehog,2020,3,12/22/2020
Red White and Blue,2020,4,12/22/2020
